🇭🇰自用频道,#genre#
天映频道,http://173.211.42.73:8278/Celestial/playlist.m3u8?tid=MB0B9965728799657287&ct=19234&tsum=58be4ca2b0bc94038a6bc33b46fcf71f
天映经典,http://173.211.42.73:8278/Celestial/playlist.m3u8?tid=MB0B2157151121571511&ct=19234&tsum=c9c3caceba37a7a551532f3e154e81c8
美亚电影,http://173.211.42.73:8278/meiyamovie_twn/playlist.m3u8?tid=MC6C9419277694192776&ct=19234&tsum=43f9d2e13c7cbbce7e5c5ec94fa38750
好莱坞电影,http://173.211.42.73:8278/hollywoodmovies_twn/playlist.m3u8?tid=MFDF3993740539937405&ct=19234&tsum=9c77fd229b7086f14748debe0f6b4ae6
探索动力,http://173.211.42.73:8278/discoveryturbo_twn/playlist.m3u8?tid=MF5F8215931682159316&ct=19234&tsum=a8061ab2a43f8691406f2c4972814551
探索频道,http://173.211.42.73:8278/discoveryhd_twn/playlist.m3u8?tid=MB0B5177298351772983&ct=19234&tsum=ca4373fe502ea49d281ea1ecdd3531f5
探索科学频道,http://173.211.42.73:8278/discoverysc_twn/playlist.m3u8?tid=MA5A1483878814838788&ct=19234&tsum=0ddc2f194c37e1b7d091efc180f3de7a
国家地理野生,http://173.211.42.73:8278/natgeowild_twn/playlist.m3u8?tid=MEDE7756748177567481&ct=19234&tsum=5005bc52f91ccd5c2c4b5d2d5bafeafe
美食星球,http://173.211.42.73:8278/foodplanet_twn/playlist.m3u8?tid=MADA1874549618745496&ct=19234&tsum=1a26f3cc623666b6bd2e40d2c16c214d
博斯运动2台,http://173.211.42.73:8278/bosisport2_twn/playlist.m3u8?tid=ME1E5579129055791290&ct=19234&tsum=7cd9f5d3ef18948f4e6fc12f69e2279e
博斯魅力网,http://173.211.42.73:8278/bosisport1_twn/playlist.m3u8?tid=MCEC3596356835963568&ct=19234&tsum=b4f0f6248548de66e4ff5d230c130d1a
TLC旅游生活频道,http://173.211.42.73:8278/tlc_twn/playlist.m3u8?tid=ME1E5068508050685080&ct=19234&tsum=792da233e8fd44ab7b013a6faee25edf

🇼🇸香港,#genre#
无线新闻,http://111.229.84.232/yulin/tvb.php?id=1
无线新闻,http://ye23.win/iptv/tvb.php?id=1
TVB翡翠台,https://cdn.hklive.tv/xxxx/81/index.m3u8
TVB J2台,https://cdn.hklive.tv/xxxx/82/index.m3u8
TVB無綫新聞,https://cdn.hklive.tv/xxxx/83/index.m3u8
TVB明珠台,https://cdn.hklive.tv/xxxx/84/index.m3u8
TVB無綫財經,https://cdn.hklive.tv/xxxx/85/index.m3u8
無綫新聞(1080p),mitv://147.135.39.171:9906/60410a86000b2b564b7737ca69aa1a5d
无线新闻(1080p),p2p://147.135.39.171:9906/60410a86000b2b564b7737ca69aa1a5d.ts
无线新闻,https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/95ea73e414b14b7ea6406050a5293f17/playlist_ssaiM.m3u8?WithCaption

🇼🇸揭阳酒店源,#genre#
CCTV1,http://120.84.96.50:808/hls/1/index.m3u8
CCTV2.576,http://120.84.96.50:808/hls/2/index.m3u8
CCTV3,http://120.84.96.50:808/hls/3/index.m3u8
CCTV4.576,http://120.84.96.50:808/hls/4/index.m3u8
CCTV5,http://120.84.96.50:808/hls/5/index.m3u8
CCTV6,http://120.84.96.50:808/hls/6/index.m3u8
CCTV7.576,http://120.84.96.50:808/hls/7/index.m3u8
CCTV8,http://120.84.96.50:808/hls/8/index.m3u8
CCTV9,http://120.84.96.50:808/hls/9/index.m3u8
揭阳生活.576,http://120.84.96.50:808/hls/18/index.m3u8
汕头综合.576,http://120.84.96.50:808/hls/19/index.m3u8
潮州综合.576,http://120.84.96.50:808/hls/20/index.m3u8
广东体育,http://120.84.96.50:808/hls/22/index.m3u8
广东经济科教.576,http://120.84.96.50:808/hls/23/index.m3u8
澳门莲花,http://120.84.96.50:808/hls/24/index.m3u8
翡翠台.576,http://120.84.96.50:808/hls/25/index.m3u8
明珠台.576,http://120.84.96.50:808/hls/26/index.m3u8
揭西台.576,http://120.84.96.50:808/hls/27/index.m3u8
凤凰资讯.576,http://120.84.96.50:808/hls/28/index.m3u8
凤凰中文.576,http://120.84.96.50:808/hls/29/index.m3u8
CCTV5+,http://120.84.96.50:808/hls/30/index.m3u8
CHC动作电影.576,http://120.84.96.50:808/hls/31/index.m3u8
东森电影,http://120.84.96.50:808/hls/32/index.m3u8
东森洋片,http://120.84.96.50:808/hls/33/index.m3u8
龙祥时代,http://120.84.96.50:808/hls/35/index.m3u8
CHC家庭影院.576,http://120.84.96.50:808/hls/36/index.m3u8
金鹰卡通.576,http://120.84.96.50:808/hls/50/index.m3u8
大湾区卫视.576,http://120.84.96.50:808/hls/67/index.m3u8
嘉佳卡通.576,http://120.84.96.50:808/hls/71/index.m3u8
广东房产.576,http://120.84.96.50:808/hls/77/index.m3u8
星空卫视.576,http://120.84.96.50:808/hls/79/index.m3u8
凤凰香港,http://120.84.96.50:808/hls/81/index.m3u8
戏曲,http://120.84.96.50:808/hls/84/index.m3u8
CCM,http://120.84.96.50:808/hls/85/index.m3u8
无线财经体育资讯台,http://120.84.96.50:808/hls/86/index.m3u8
CCTV1,http://120.84.96.50:808/hls/101/index.m3u8
CCTV2,http://120.84.96.50:808/hls/102/index.m3u8
CCTV3,http://120.84.96.50:808/hls/103/index.m3u8
CCTV4,http://120.84.96.50:808/hls/104/index.m3u8
CCTV5,http://120.84.96.50:808/hls/105/index.m3u8
CCTV6,http://120.84.96.50:808/hls/106/index.m3u8
CCTV7,http://120.84.96.50:808/hls/107/index.m3u8
CCTV8,http://120.84.96.50:808/hls/108/index.m3u8
CCTV9,http://120.84.96.50:808/hls/109/index.m3u8
CCTV10,http://120.84.96.50:808/hls/110/index.m3u8
CCTV11.576,http://120.84.96.50:808/hls/111/index.m3u8
CCTV12,http://120.84.96.50:808/hls/112/index.m3u8
CCTV13.576,http://120.84.96.50:808/hls/113/index.m3u8
CCTV14,http://120.84.96.50:808/hls/114/index.m3u8
CCTV15.576,http://120.84.96.50:808/hls/115/index.m3u8
CCTV5+,http://120.84.96.50:808/hls/116/index.m3u8
CCTV17.576,http://120.84.96.50:808/hls/117/index.m3u8
广东经济科教,http://120.84.96.50:808/hls/118/index.m3u8
大湾区卫视.576,http://120.84.96.50:808/hls/119/index.m3u8
广东少儿.576,http://120.84.96.50:808/hls/120/index.m3u8
广东卫视,http://120.84.96.50:808/hls/121/index.m3u8
广东珠江,http://120.84.96.50:808/hls/122/index.m3u8
金鹰卡通.576,http://120.84.96.50:808/hls/123/index.m3u8
广东新闻.576,http://120.84.96.50:808/hls/124/index.m3u8
深圳卫视,http://120.84.96.50:808/hls/125/index.m3u8
湖南卫视,http://120.84.96.50:808/hls/126/index.m3u8
贵州卫视.576,http://120.84.96.50:808/hls/127/index.m3u8
湖北卫视,http://120.84.96.50:808/hls/128/index.m3u8
浙江卫视,http://120.84.96.50:808/hls/129/index.m3u8
江苏卫视,http://120.84.96.50:808/hls/130/index.m3u8
安徽卫视,http://120.84.96.50:808/hls/131/index.m3u8
山东卫视,http://120.84.96.50:808/hls/132/index.m3u8
